Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:HTTP Request,1000000,62,6,276,18.53,0.000%,1580.34306,453.11,358.05,293.6
TOTAL,1000000,62,6,276,18.53,0.000%,1580.34306,453.11,358.05,293.6
